Patente;Latitud;Longitud;Tiempogps;Ruta;Velocidad;Ignición
FZJL-71;-33.4107246;-70.5860977;201709120000.0;BTS 00I;24.82;SI
MZ-8072;-33.3897095;-70.5998001;201709120000.0;BTS 00I;33.89;SI
CRXW-96;-33.3885422;-70.6218643;201709120000.0;BTS 00I;0.0;SI
BDWL-40;-33.3798904;-70.6350174;201709120000.01;T225 00I;0.0;SI
CJRR-86;-33.3885117;-70.6224747;201709120000.01;BTS 00I;0.0;SI
BFKB-44;-33.3798943;-70.6342087;201709120000.02;T2TS 00I;0.0;SI
CRCB-14;-33.3875618;-70.6222153;201709120000.02;B14 00R;0.0;SI
FZJL-70;-33.3875465;-70.6218414;201709120000.02;BTS 00I;0.0;SI
MZ-9824;-33.3874168;-70.6222534;201709120000.02;BTS 00I;0.0;SI
MZ-9906;-33.3922081;-70.5924454;201709120000.03;B53 00R;0.0;SI
CJRD-99;-33.3943405;-70.7587814;201709120000.03;BTS 00I;0.0;SI
BJFG-20;-33.3883324;-70.6200714;201709120000.03;BTS 00I;0.0;SI
FLXB-68;-33.3857613;-70.6670074;201709120000.03;B27 00R;15.93;SI
CJRT-71;-33.4020348;-70.5939026;201709120000.03;BTS 00I;22.97;SI
FZJL-54;-33.387928;-70.6222229;201709120000.03;BTS 00I;0.0;SI
BFKB-49;-33.3792381;-70.6372452;201709120000.04;T2TS 00I;0.0;SI
CJRR-10;-33.3880424;-70.6227112;201709120000.04;BTS 00I;0.0;SI
BFKB-37;-33.3800049;-70.6331787;201709120000.05;T2TS 00I;0.0;SI
BJFV-65;-33.3800888;-70.6369324;201709120000.05;T107 00R;0.0;SI
CJRK-81;-33.3874817;-70.6223221;201709120000.05;BTS 00I;0.0;SI
FLXJ-80;-33.4014359;-70.5097733;201709120000.05;T421 00I;21.85;SI
CJRK-68;-33.3874817;-70.6219711;201709120000.05;BTS 00I;0.0;SI
FLXS-54;-33.4053612;-70.6242371;201709120000.05;F52 00I;0.0;SI
MZ-9827;-33.3884087;-70.6205902;201709120000.06;BTS 00I;0.0;SI
MZ-9907;-33.3874435;-70.6222382;201709120000.06;BTS 00I;0.0;SI
CJRF-83;-33.3756218;-70.6470184;201709120000.06;BTS 00I;0.0;SI
ZN-6275;-33.3796196;-70.634407;201709120000.06;T2TS 00I;0.0;SI
CRXZ-75;-33.387619;-70.6217499;201709120000.06;BTS 00I;0.0;SI
ZN-5557;-33.3798714;-70.6338348;201709120000.06;T216 00I;11.85;SI
BJFG-57;-33.3885498;-70.6223831;201709120000.06;BTS 00I;0.0;SI
CJRT-41;-33.3865814;-70.5406723;201709120000.06;B71 00I;14.82;SI
CJRJ-47;-33.407589;-70.5598602;201709120000.07;T4TS 00I;32.97;SI
CJRR-74;-33.3880081;-70.6220932;201709120000.07;BTS 00I;0.0;SI
WA-8084;-33.3794899;-70.6353912;201709120000.07;T2TS 00I;0.0;SI
CJRC-36;-33.375515;-70.6477051;201709120000.07;B02 00R;0.0;SI
FLXS-40;-33.4096603;-70.6144104;201709120000.08;F94 00I;61.86;SI
MY-8859;-33.3885117;-70.6222534;201709120000.08;BTS 00I;0.0;SI
CRBW-31;-33.3877373;-70.6216888;201709120000.08;BTS 00I;0.0;SI
WA-8081;-33.379982;-70.6332703;201709120000.08;T2TS 00I;0.0;SI
CJRR-15;-33.3782959;-70.5282898;201709120000.08;B55 00R;0.0;SI
FLXT-89;-33.3964043;-70.5018234;201709120000.08;B52 00R;0.0;SI
BJFG-15;-33.3885803;-70.6223679;201709120000.08;BTS 00I;0.0;SI
FLXH-51;-33.399498;-70.5071564;201709120000.08;T421 00I;0.0;SI
FLXB-23;-33.3793983;-70.6506042;201709120000.08;BTS 00I;23.89;SI
MY-3920;-33.3878212;-70.6217194;201709120000.09;BTS 00I;0.0;SI
MY-3914;-33.3868904;-70.6010437;201709120000.09;B57 00R;0.0;SI
CJRV-45;-33.3762474;-70.5337906;201709120000.09;T4TS 00I;77.97;SI
BDWL-44;-33.3798523;-70.6365128;201709120000.09;T225 00I;0.0;SI
BDWL-39;-33.3800774;-70.6351624;201709120000.1;T2TS 00I;0.0;SI
ZN-6326;-33.3796082;-70.6365051;201709120000.1;T2TS 00I;0.0;SI
ZN-5758;-33.4033318;-70.7318573;201709120000.1;T128 00R;0.0;SI
ZN-5436;-33.3803978;-70.6363678;201709120000.1;T1TS 00I;0.0;SI
CJRF-41;-33.3754387;-70.6473389;201709120000.11;B02 00I;0.0;SI
BFKB-45;-33.379631;-70.6372452;201709120000.11;T2TS 00I;0.0;SI
CJRX-12;-33.4103432;-70.5726242;201709120000.12;T406 00I;21.85;SI
CJRK-71;-33.3983078;-70.6143112;201709120000.13;BTS 00I;43.89;SI
BJFG-27;-33.3885918;-70.6222687;201709120000.13;BTS 00I;0.0;SI
FLXB-32;-33.375576;-70.6473541;201709120000.13;BTS 00I;0.0;SI
CJRY-16;-33.3875427;-70.6220856;201709120000.13;BTS 00I;0.0;SI
FLXS-61;-33.4044037;-70.6256485;201709120000.14;F94 00I;30.93;SI
BJFF-26;-33.3796234;-70.6341782;201709120000.14;T2TS 00I;0.0;SI
BFKB-51;-33.3883018;-70.6206589;201709120000.14;BTS 00I;0.0;SI
MY-3918;-33.3870468;-70.6009979;201709120000.14;B57 00R;0.0;SI
ZN-5591;-33.3798599;-70.6344681;201709120000.15;T225 00R;0.0;SI
MX-4326;-33.3885498;-70.6204147;201709120000.15;B22 00R;0.0;SI
MZ-9900;-33.3883247;-70.6206818;201709120000.15;BTS 00I;0.0;SI
WB-1022;-33.3796539;-70.6340714;201709120000.15;;0.0;SI
CJRS-27;-33.3879585;-70.6221313;201709120000.15;BTS 00I;0.0;SI
BDXS-72;-33.3868904;-70.6010742;201709120000.17;BTS 00I;0.0;SI
CJRR-18;-33.3839569;-70.5511246;201709120000.17;B53 00I;28.89;SI
MY-8862;-33.3875618;-70.6221542;201709120000.17;BTS 00I;0.0;SI
FZJS-98;-33.381321;-70.5845566;201709120000.18;BTS 00I;59.82;SI
BJFF-74;-33.3796654;-70.6350403;201709120000.18;T2TS 00I;8.89;SI
CJRR-23;-33.3875961;-70.621994;201709120000.18;BTS 00I;0.0;SI
WA-8050;-33.3793907;-70.6349869;201709120000.18;T206 E0 00R;0.0;SI
CJRB-89;-33.394825;-70.7600327;201709120000.19;BTS 00I;0.0;SI
CJRR-87;-33.3874435;-70.6225128;201709120000.19;BTS 00I;0.0;SI
CJRH-33;-33.407608;-70.5589066;201709120000.2;T423 00R;20.93;SI
